Study_Hours,Attendance,Assignment,Result
2,40,35,0
3,45,42,0
1,38,30,0
4,50,48,0
2,55,45,0
3,52,50,0
4,58,55,0
1,42,38,0
5,60,58,0
3,48,46,0
2,57,52,0
4,62,59,0
5,63,61,0
3,54,49,0
2,47,43,0
4,59,57,0
5,65,64,0
3,56,54,0
4,61,60,0
5,66,65,0
2,44,40,0
3,53,51,0
4,57,56,0
5,64,62,0
4,60,58,0
6,72,70,1
7,75,74,1
8,82,85,1
9,88,90,1
10,95,98,1
6,78,76,1
7,80,82,1
8,86,88,1
9,90,92,1
10,97,100,1
6,74,73,1
7,79,80,1
8,84,86,1
9,91,93,1
10,96,99,1
6,81,77,1
7,83,84,1
8,87,89,1
9,92,95,1
10,94,97,1
6,76,78,1
7,81,83,1
8,85,87,1
9,89,91,1
10,93,96,1
